Tenure in Months (groups),Customer ID
1 Month,0021-IKXGC
1 Month,0023-HGHWL
1 Month,0032-PGELS
1 Month,0082-LDZUE
1 Month,0107-WESLM
1 Month,0107-YHINA
1 Month,0137-OCGAB
1 Month,0151-ONTOV
1 Month,0231-LXVAP
1 Month,0235-KGSLC
1 Month,0247-SLUJI
1 Month,0248-IPDFW
1 Month,0295-PPHDO
1 Month,0318-QUUOB
1 Month,0322-YINQP
1 Month,0328-GRPMV
1 Month,0374-AACSZ
1 Month,0375-HVGXO
1 Month,0390-DCFDQ
1 Month,0415-MOSGF
1 Month,0426-TIRNE
1 Month,0488-GSLFR
1 Month,0495-RVCBF
1 Month,0511-JTEOY
1 Month,0515-YPMCW
1 Month,0519-XUZJU
1 Month,0612-RTZZA
1 Month,0616-ATFGB
1 Month,0623-GDISB
1 Month,0661-XEYAN
1 Month,0670-KDOMA
1 Month,0673-IGUQO
1 Month,0674-EYYZV
1 Month,0679-IDSTG
1 Month,0684-AOSIH
1 Month,0723-DRCLG
1 Month,0742-NXBGR
1 Month,0761-AETCS
1 Month,0812-WUPTB
1 Month,0817-HSUSE
1 Month,0841-NULXI
1 Month,0887-HJGAR
1 Month,0927-CNGRH
1 Month,0968-GSIKN
1 Month,0970-ETWGE
1 Month,0970-QXPXW
1 Month,1000-AJSLD
1 Month,1015-OWJKI
1 Month,1024-GUALD
1 Month,1029-QFBEN
1 Month,1031-IIDEO
1 Month,1062-LHZOD
1 Month,1064-FBXNK
1 Month,1066-JKSGK
1 Month,1069-XAIEM
1 Month,1084-UQCHV
1 Month,1086-LXKFY
1 Month,1098-TDVUQ
1 Month,1099-GODLO
1 Month,1122-JWTJW
1 Month,1135-LMECX
1 Month,1156-ZFYDO
1 Month,1157-BQCUW
1 Month,1194-SPVSP
1 Month,1240-KNSEZ
1 Month,1285-OKIPP
1 Month,1334-FJSVR
1 Month,1349-WXNGG
1 Month,1363-TXLSL
1 Month,1393-IMKZG
1 Month,1406-PUQVY
1 Month,1415-YFWLT
1 Month,1423-BMPBQ
1 Month,1447-GIQMR
1 Month,1448-PWKYE
1 Month,1452-VOQCH
1 Month,1453-RZFON
1 Month,1455-ESIQH
1 Month,1471-GIQKQ
1 Month,1478-VPOAD
1 Month,1493-AMTIE
1 Month,1496-GGSUK
1 Month,1536-HBSWP
1 Month,1541-ETJZO
1 Month,1582-RAFML
1 Month,1612-EOHDH
1 Month,1622-HSHSF
1 Month,1628-BIZYP
1 Month,1640-PLFMP
1 Month,1660-HSOOQ
1 Month,1663-MHLHE
1 Month,1724-IQWNM
1 Month,1725-MIMXW
1 Month,1740-CSDJP
1 Month,1746-TGTWV
1 Month,1761-AEZZR
1 Month,1768-ZAIFU
1 Month,1794-HBQTJ
1 Month,1816-FLZDK
1 Month,1820-TQVEV
1 Month,1833-VGRUM
1 Month,1845-ZLLIG
1 Month,1846-XWOQN
1 Month,1853-UDXBW
1 Month,1866-OBPNR
1 Month,1895-QTKDO
1 Month,1905-OEILC
1 Month,1915-IOFGU
1 Month,1928-BXYIV
1 Month,1934-SJVJK
1 Month,1941-HOSAM
1 Month,1942-OQFRW
1 Month,1963-SVUCV
1 Month,1963-VAUKV
1 Month,1976-CFOCS
1 Month,1977-STDKI
1 Month,2002-MZHWP
1 Month,2004-OCQXK
1 Month,2013-SGDXK
1 Month,2018-QKYGT
1 Month,2024-BASKD
1 Month,2043-WVTQJ
1 Month,2049-BAFNW
1 Month,2080-SRCDE
1 Month,2081-KJSQF
1 Month,2082-CEFLT
1 Month,2103-ZRXFN
1 Month,2111-DWYHN
1 Month,2135-RXIHG
1 Month,2202-CUYXZ
1 Month,2207-NHRJK
1 Month,2209-XADXF
1 Month,2220-IAHLS
1 Month,2232-DMLXU
1 Month,2239-CFOUJ
1 Month,2254-DLXRI
1 Month,2262-SLNVK
1 Month,2273-QCKXA
1 Month,2275-RBYQS
1 Month,2320-JRSDE
1 Month,2369-FEVNO
1 Month,2386-LAHRK
1 Month,2424-WVHPL
1 Month,2446-PLQVO
1 Month,2465-BLLEU
1 Month,2468-SJFLM
1 Month,2480-JZOSN
1 Month,2506-TNFCO
1 Month,2514-GINMM
1 Month,2538-OIMXF
1 Month,2542-HYGIQ
1 Month,2565-JSLRY
1 Month,2576-HXMPA
1 Month,2585-KTFRE
1 Month,2592-YKDIF
1 Month,2607-FBDFF
1 Month,2609-IAICY
1 Month,2619-WFQWU
1 Month,2636-ALXXZ
1 Month,2654-VBVPB
1 Month,2668-TZSPS
1 Month,2672-DZUOY
1 Month,2672-OJQZP
1 Month,2676-ISHSF
1 Month,2692-PFYTJ
1 Month,2700-LUEVA
1 Month,2712-SYWAY
1 Month,2722-JMONI
1 Month,2725-KXXWT
1 Month,2740-TVLFN
1 Month,2777-PHDEI
1 Month,2792-LSHWX
1 Month,2812-SFXMJ
1 Month,2833-SLKDQ
1 Month,2853-CWQFQ
1 Month,2856-HYAPG
1 Month,2862-PFNIK
1 Month,2866-IKBTM
1 Month,2867-UIMSS
1 Month,2868-MZAGQ
1 Month,2876-VBBBL
1 Month,2903-YYTBW
1 Month,2920-RNCEZ
1 Month,2947-DOMLJ
1 Month,2955-PSXOE
1 Month,2967-MXRAV
1 Month,2982-IHMFT
1 Month,3027-ZTDHO
1 Month,3030-ZKIWL
1 Month,3049-NDXFL
1 Month,3063-QFSZL
1 Month,3066-RRJIO
1 Month,3068-OMWZA
1 Month,3069-SSVSN
1 Month,3085-QUOZK
1 Month,3090-QFUVD
1 Month,3091-FYHKI
1 Month,3148-BLQJT
1 Month,3165-HDOEW
1 Month,3177-LASXD
1 Month,3178-FESZO
1 Month,3186-BAXNB
1 Month,3244-DCJWY
1 Month,3247-MHJKM
1 Month,3276-HDUEG
1 Month,3296-SILRA
1 Month,3308-MHOOC
1 Month,3334-CTHOL
1 Month,3373-YZZYM
1 Month,3413-BMNZE
1 Month,3422-LYEPQ
1 Month,3428-XZMAZ
1 Month,3439-GVUSX
1 Month,3494-JCHRQ
1 Month,3506-LCJDC
1 Month,3518-PZXZQ
1 Month,3551-HUAZH
1 Month,3566-HJGPK
1 Month,3577-AMVUX
1 Month,3583-EKAPL
1 Month,3590-TCXTB
1 Month,3627-FHKBK
1 Month,3645-DEYGF
1 Month,3658-KIBGF
1 Month,3669-OYSJI
1 Month,3679-XASPY
1 Month,3707-GNWHM
1 Month,3716-BDVDB
1 Month,3716-UVSPD
1 Month,3717-OFRTN
1 Month,3722-WPXTK
1 Month,3727-JEZTU
1 Month,3746-EUBYR
1 Month,3751-KTZEL
1 Month,3765-JXVKY
1 Month,3776-EKTKM
1 Month,3785-NRHYR
1 Month,3797-VTIDR
1 Month,3801-HMYNL
1 Month,3803-KMQFW
1 Month,3807-XHCJH
1 Month,3841-CONLJ
1 Month,3871-IKPYH
1 Month,3877-JRJIP
1 Month,3878-AVSOQ
1 Month,3891-PUQOD
1 Month,3900-AQPHZ
1 Month,3926-CUQZX
1 Month,3930-ZGWVE
1 Month,3946-MHCZW
1 Month,3961-SXAXY
1 Month,3976-NLDEZ
1 Month,3988-RQIXO
